"at","score","content","sentiment","pos_score","neg_score"
"2026-01-18 11:31:35","5","엄청 재밌네요 기왕이면 유료가 없어지면 좋겠지만 작가님들도 먹고 살아야하니 ㅎㅎ 개인적으로 말씀 드리자면 여우애담 이라는 웹툰을 재밌게 읽고 있습니다 만약 이 앱을 다운로드하게 된다면 꼭 추천 합니다 (달달한 로맨스 입니다 ♡×♡)","긍정","4","0"
"2026-01-18 08:13:52","1","제가 구글 포인트 600개로 쿠키 60개짜리를 샀는데 아무리 앱을 껐다 켜봐도 쿠키가 지급되지 않아요. 분명 구글 포인트는 줄어들었는데 아무리 확인해도 쿠키가 들어오지 않습니다. 다시 제대로 쿠키지급 부탁드립니다.","부정","0","0"
"2026-01-18 00:02:36","1","네이버앱에서 웹툰 보다가 쿠키.구워서 결제했는데 결제한.웹툰은 웹툰앱으로 보래;;;; 결제하기전에 미리 고지하던가;;; 악독해","부정","0","0"
"2026-01-17 21:54:31","1","화면 축소도 안된다 확대한거 되돌리기만 가능 화면이 너무 커서 내리면서 보기 힘들어 축소 기능이 필요한데 컴터로는 가능한데 폰 앱은 안되네","부정","0","0"
"2026-01-17 18:50:29","4","자동스크롤 기능/완결웹툰의 장르별 분류가 없는게 크게 아쉬워요. 1. 자동스크롤 자기 전에 자바라로 편하게 보고싶은데 계속 스크롤 내리다보니 팔에 통증이 있습니다... 때문에 장시간 웹툰을 보긴 어려워요 2. 완결웹툰 장르별 분류 순서대로 스크롤 내리면서 보기엔, 취향에 맞지 않는 것들이 나와 리스트에서 낭비되는 시간이 길어요.","긍정","0","0"
"2026-01-17 14:50:23","5","밥도둑","긍정","0","0"
"2026-01-17 13:40:46","5","사랑해여 네이버 웹툰 💞💞💞💞💞","긍정","0","0"
"2026-01-17 08:56:05","5","휴재작이 완결작과 구분되지 않아 불편함이 있습니다","긍정","0","2"
"2026-01-17 01:39:48","5","재미있는 웹툰이 많아서 넘 좋음!!","긍정","2","0"
"2026-01-16 12:00:26","5","굿","긍정","0","0"
"2026-01-16 10:30:54","5","너무 좋아요","긍정","2","0"
"2026-01-16 08:55:18","5","솔직히 네이버 웹툰 로그인 하기만 하면 24시간 기다려서 볼 수 있는 것도 있고 19세 이상 웹툰도 잘 잠겨 있어서 편한 것 같아요.","긍정","0","0"
"2026-01-16 07:21:25","5","재밌는 웹툰이 많아서, 새벽까지 보게 됬어요..","긍정","0","0"
"2026-01-16 05:42:12","5","아 ㅜㅜ 인생앱 치오오빠 ㄱ존잘 다정한 칩입자보다가 와 네이버 웹툰과 사랑에 빠짐 네이버 웹툰 만수무강(?)해야함 진짜","긍정","0","0"
"2026-01-16 04:17:35","3","웹툰이 너무 재밌는데 욕이 너무 나와요. 아직 초딩5학년인데 욕이너무 많습니다.","중립","0","0"
"2026-01-16 01:28:43","5","쿠키 이벤트 많이해주세요","긍정","0","0"
"2026-01-16 01:24:54","5","웹툰이 재미있는게 많아서 너무 좋아요 다른 웹툰앱보단 이게 짱인듯?","긍정","4","0"
"2026-01-16 01:00:35","5","정말편하고좋아요별:5점!드림니다.","긍정","2","0"
"2026-01-16 00:39:44","5","good","긍정","0","0"
"2026-01-15 22:06:12","5","웹툰이 많아서 질릴 타이밍이 없어요","긍정","0","0"
"2026-01-15 16:47:28","5","명작만 보는중. 솔직히 쿠키 없을때만 미션뜨는건 나만겪는건가","긍정","3","0"
"2026-01-15 16:10:06","4","*건의사항 관심웹툰에서 웹툰 리스트 나오는 방식이 업데이트+안 읽은 작품 순으로 나오는게 추가됐으면 좋겠어요 이외에는 불편한 것 없이 잘 사용하고 있습니다","긍정","0","2"
"2026-01-15 15:34:13","3","작가들 컨디션을 위해 휴재가 있는 것은 좋지만 솔직히 1년 2년 넘으면 돌아오라고 하든지 진짜 하다 못해 완결을 내든지 해야 한다고 생각합니다. 진짜 기다리다가 목 빠지겠어요. 진짜 2년 휴재는 안 돌아온다는 것 아닌가요?","중립","0","0"
